qbo_account_name,template_label
4100 Parts Retail Repair Order,Parts - Service Repair Order
fees,Environmental Fees / Shop Supplies
labor retail wholesale,Labor — Retail/Wholesale
outsourced repair,Sublet
tires,Tires
environmental fees,Environmental Fees / Shop Supplies
revenue returns allowances discounts,Sales Discounts/Adjustments/Refunds
cost parts service repair order,Purchases — Parts Service Repair Order
cost shop supply,Environmental Fees / Shop Supplies
tech labor,Labor — Technician Wages
outsourced repair cost,Sublet
tires cost,Tires
accounting,Accounting
1 advertising business promotion general,Advertising - General
bankcard services,Bankcard Services
building rent lease,Building — Rent/Lease
building repairs maintenance,Building — Maint/Repair
meals,Other Operating Expenses Combined
employee training,Employee Training
equipment maintenance repair,Equipt — Maint/Repair
insurance liability,Insurance — Liability
insurance health,Insurance — Other
shareholder health insurance,Insurance — Other
insurance workmans comp,Insurance—Workman's Comp
interest,Interest
i t services,IT Services
1 software fees,Other Operating Expenses Combined
permits and licenses,Other Operating Expenses Combined
laundry,Laundry & Uniforms
legal,Legal
salaries owner,Salaries — Owners
1 salaries office,Salaries — Clerical-Office
2 salaries manager,Salaries — Management
3 commissions manager,Salaries — Management
4 salaries service advisor,Salaries — Service Advisors
5 commissions service advisor,Salaries — Service Advisors
6 salaries shop manager,Salaries — Management
7 commissions shop manager,Salaries — Management
supplies office,Supplies — Office
small tools,Small-Tool Purchases
taxes business,Taxes — Business
taxes payroll,Taxes — Payroll
telephone,Telephones
travel entertainment,Travel/Entertainment
utilities,Utilities
vehicle expense,Vehicle Expense
waste disposal hazardous,Utilities
warranty expense,Other Operating Expenses Combined
retirement plan,Other Operating Expenses Combined
net operating revenue,Profit From Operations
gain from disbursement of assets,Gain — Dispersement of Assets
other revenue,Other Income — Total
revenue tax collected,Other Income — Total
amortization expense,Other Expenses — Total
net other revenue,Net Other Income/Expense
net revenue,Net Profit Before Income Taxes
cash on hand,Cash on Hand
allowances bad debts,Allowances — Bad Debts
prepaid expenses,Prepaid Expenses
deposits,Deposits
payroll advances bonuses,Payroll Advances/Bonuses
inventory parts,Inventory — Parts
work in process outsourced repair,Work-in-Process — Sublet
work in process other,Work-in-Process — Other
accum depreciation leasehold improvements,Net Fixed Assets (after depreciation)
accum depreciation buildings,Net Fixed Assets (after depreciation)
accum depreciation computer equipment,Net Fixed Assets (after depreciation)
accum depreciation office furniture equipment,Net Fixed Assets (after depreciation)
accum depreciation shop equipment tools,Net Fixed Assets (after depreciation)
accum depreciation vehicles,Net Fixed Assets (after depreciation)
accum depreciation covenant not to compete,Net Fixed Assets (after depreciation)
accum depreciation goodwill,Net Fixed Assets (after depreciation)
accum depreciation organization and start up cost,Net Fixed Assets (after depreciation)
customer deposits,Customer Deposits
towing,Towing
gate fees revenue,Total Income — Other
labor labor retail wholesale,Labor — Technician Wages
gate fees,Total Cost of Sales — Other
dues subscriptions memberships,Dues/Subscriptions/Memberships
employee benefits,Employee Benefits
internet charges,Internet Charges
postage,Postage
salaries clerical office,Salaries — Clerical-Office
salaries management,Salaries — Management
salaries revenue persons,Salaries — Sales Persons
salaries service advisors,Salaries — Service Advisors
salaries supervisory office,Salaries — Supervisory-Office
salaries supervisory parts,Salaries — Supervisory-Parts
salaries supervisory shop,Salaries — Supervisory-Shop
salaries parts persons,Salaries — Parts Persons
supplies building,Supplies — Building
bad debt recovery,Bad Debt Recovery
depreciation,Net Fixed Assets (after depreciation)
discounts given,Sales Returns/Allowances/Discounts
meals 50 deductible business and travel meals,Other Operating Expenses Combined
salaries owners officers,Salaries — Owners
bad debt,Other Operating Expenses Combined
warranty comeback goodwill repair,Other Operating Expenses Combined
security,Other Operating Expenses Combined
other taxes,Other Current Assets
outside contractor,Other Operating Expenses Combined
meals 100 deductible employee and event meals,Other Operating Expenses Combined
insurance supplemental,Insurance — Other
1 salaries clerical office,Salaries — Clerical-Office
4 salaries service advisors,Salaries — Service Advisors
01 fuel,Vehicle Expense
interest revenue,Interest Earned
shareholder,Notes Payable — Officers/Stockholders
