qbo_account_name,template_label
4100 Parts Retail Repair Order,Parts - Service Repair Order
fees,Environmental Fees / Shop Supplies
labor retail wholesale,Labor — Retail/Wholesale
outsourced repair,Sublet
tires,Tires
environmental fees,Environmental Fees / Shop Supplies
revenue returns allowances discounts,Sales Discounts/Adjustments/Refunds
cost parts service repair order,Purchases — Parts Service Repair Order
cost shop supply,Environmental Fees / Shop Supplies
tech labor,Labor — Technician Wages
outsourced repair cost,Sublet
tires cost,Tires
accounting,Accounting
1 advertising business promotion general,Advertising - General
bankcard services,Bankcard Services
building rent lease,Building — Rent/Lease
building repairs maintenance,Building — Maint/Repair
meals,Other Operating Expenses Combined
employee training,Employee Training
equipment maintenance repair,Equipt — Maint/Repair
insurance liability,Insurance — Liability
insurance health,Insurance — Other
shareholder health insurance,Insurance — Other
insurance workmans comp,Insurance—Workman's Comp
interest,Interest
i t services,IT Services
1 software fees,Other Operating Expenses Combined
permits and licenses,Other Operating Expenses Combined
laundry,Laundry & Uniforms
legal,Legal
salaries owner,Salaries — Owners
1 salaries office,Salaries — Clerical-Office
2 salaries manager,Salaries — Management
3 commissions manager,Salaries — Management
4 salaries service advisor,Salaries — Service Advisors
5 commissions service advisor,Salaries — Service Advisors
6 salaries shop manager,Salaries — Management
7 commissions shop manager,Salaries — Management
supplies office,Supplies — Office
small tools,Small-Tool Purchases
taxes business,Taxes — Business
taxes payroll,Taxes — Payroll
telephone,Telephones
travel entertainment,Travel/Entertainment
utilities,Utilities
vehicle expense,Vehicle Expense
waste disposal hazardous,Utilities
warranty expense,Other Operating Expenses Combined
retirement plan,Other Operating Expenses Combined
net operating revenue,Profit From Operations
gain from disbursement of assets,Gain — Dispersement of Assets
other revenue,Other Income — Total
revenue tax collected,Other Income — Total
amortization expense,Other Expenses — Total
net other revenue,Net Other Income/Expense
net revenue,Net Profit Before Income Taxes
parts retail other,Parts — Other
